key	en	ru	pt-BR	es-419	de	fr	tr	id	pl	it
static.you_killed_0	You killed 0 enemies	Уничтожено врагов: 0	Você derrotou 0 inimigos	Derrotaste a 0 enemigos	Du hast 0 Gegner besiegt	Vous avez vaincu 0 ennemis	0 düşman öldürdün	Kamu mengalahkan 0 musuh	Pokonałeś 0 wrogów	Hai sconfitto 0 nemici
static.new_text	New Text	Текст	Novo texto	Texto nuevo	Neuer Text	Nouveau texte	Yeni metin	Teks baru	Nowy tekst	Nuovo testo
static.something	Something	Предмет	Algo	Algo	Etwas	Quelque chose	Bir şey	Sesuatu	Coś	Qualcosa
game.spells	SPELLS	ЗАКЛИНАНИЯ	FEITIÇOS	HECHIZOS	ZAUBER	SORTS	BÜYÜLER	MANTRA	ZAKLĘCIA	INCANTESIMI
spell.uses	x{0}	x{0}	x{0}	x{0}	x{0}	x{0}	x{0}	x{0}	x{0}	x{0}
spell.ready	READY	ГОТОВО	PRONTO	LISTO	BEREIT	PRÊT	HAZIR	SIAP	GOTOWE	PRONTO
spell.cooldown	{0}s	{0} с	{0}s	{0}s	{0}s	{0}s	{0} sn	{0} dtk	{0}s	{0}s
spell.details.open	DETAILS	ПОДРОБНЕЕ	DETALHES	DETALLES	DETAILS	DÉTAILS	AYRINTILAR	DETAIL	SZCZEGÓŁY	DETTAGLI
spell.details.close	CLOSE	ЗАКРЫТЬ	FECHAR	CERRAR	SCHLIESSEN	FERMER	KAPAT	TUTUP	ZAMKNIJ	CHIUDI
spell.used	USED	ИСПОЛЬЗОВАНО	USADO	USADO	VERBRAUCHT	UTILISÉ	KULLANILDI	TERPAKAI	UŻYTE	USATO
spell.passive.popup_title	PASSIVE SPELL	ПАССИВНОЕ ЗАКЛИНАНИЕ	FEITIÇO PASSIVO	HECHIZO PASIVO	PASSIVER ZAUBER	SORT PASSIF	PASİF BÜYÜ	MANTRA PASIF	ZAKLĘCIE PASYWNE	INCANTESIMO PASSIVO
spell.passive.damage	Damage: {0}	Урон: {0}	Dano: {0}	Daño: {0}	Schaden: {0}	Dégâts : {0}	Hasar: {0}	Damage: {0}	Obrażenia: {0}	Danno: {0}
spell.passive.power	Effect power: x{0}	Сила эффекта: x{0}	Poder do efeito: x{0}	Potencia del efecto: x{0}	Effektstärke: x{0}	Puissance de l'effet : x{0}	Etki gücü: x{0}	Kekuatan efek: x{0}	Siła efektu: x{0}	Potenza effetto: x{0}
spell.passive.cooldown	Cooldown: {0}s	Перезарядка: {0} с	Recarga: {0}s	Recarga: {0}s	Abklingzeit: {0}s	Recharge : {0}s	Bekleme: {0} sn	Cooldown: {0} dtk	Odnowienie: {0}s	Ricarica: {0}s
spell.passive.duration	Duration: {0}s	Длительность: {0} с	Duração: {0}s	Duración: {0}s	Dauer: {0}s	Durée : {0}s	Süre: {0} sn	Durasi: {0} dtk	Czas trwania: {0}s	Durata: {0}s
spell.passive.status_ready	Status: Ready	Статус: готово	Status: Pronto	Estado: Listo	Status: Bereit	Statut : prêt	Durum: Hazır	Status: Siap	Stan: Gotowe	Stato: Pronto
spell.passive.status_cooldown	Ready in: {0}s	Будет готово через: {0} с	Pronto em: {0}s	Listo en: {0}s	Bereit in: {0}s	Prêt dans : {0}s	Hazır olma: {0} sn	Siap dalam: {0} dtk	Gotowe za: {0}s	Pronto tra: {0}s
spell.invulnerability.title	AEGIS	ЭГИДА	ÉGIDE	ÉGIDA	ÄGIS	ÉGIDE	KALKAN	PERISAI	EGIDA	EGIDA
spell.invulnerability.description	The tower takes no damage for 6 seconds.	Башня не получает урон в течение 6 секунд.	A torre não sofre dano por 6 segundos.	La torre no recibe daño durante 6 segundos.	Der Turm erleidet 6 Sekunden lang keinen Schaden.	La tour ne subit aucun dégât pendant 6 secondes.	Kule 6 saniye boyunca hasar almaz.	Menara tidak menerima damage selama 6 detik.	Wieża nie otrzymuje obrażeń przez 6 sekund.	La torre non subisce danni per 6 secondi.
spell.resource_surge.title	SURGE	ВСПЛЕСК	SURTO	OLEADA	SCHUB	AFFLUX	AKIN	LONJAKAN	PRZYPŁYW	ONDATA
spell.resource_surge.description	Crystal drop chance is multiplied by 2.5 for 12 seconds.	Шанс выпадения кристаллов умножается на 2,5 на 12 секунд.	A chance de obter cristais é multiplicada por 2,5 por 12 segundos.	La probabilidad de obtener cristales se multiplica por 2,5 durante 12 segundos.	Die Fundchance für Kristalle wird 12 Sekunden lang mit 2,5 multipliziert.	Les chances d'obtenir des cristaux sont multipliées par 2,5 pendant 12 secondes.	Kristal düşme şansı 12 saniye boyunca 2,5 ile çarpılır.	Peluang jatuhnya kristal dikali 2,5 selama 12 detik.	Szansa na wypadnięcie kryształów jest mnożona przez 2,5 przez 12 sekund.	La probabilità di ottenere cristalli è moltiplicata per 2,5 per 12 secondi.
spell.purge.title	PURGE	ОЧИЩЕНИЕ	EXPURGO	PURGA	SÄUBERUNG	PURGE	ARINMA	PEMUSNAHAN	CZYSTKA	EPURAZIONE
spell.purge.description	Destroys all enemies and hostile projectiles on the battlefield.	Уничтожает всех врагов и вражеские снаряды на поле боя.	Destrói todos os inimigos e projéteis hostis no campo de batalha.	Destruye a todos los enemigos y proyectiles hostiles del campo de batalla.	Zerstört alle Gegner und feindlichen Projektile auf dem Schlachtfeld.	Détruit tous les ennemis et projectiles hostiles sur le champ de bataille.	Savaş alanındaki tüm düşmanları ve düşman mermilerini yok eder.	Menghancurkan semua musuh dan proyektil lawan di medan perang.	Niszczy wszystkich wrogów i wrogie pociski na polu bitwy.	Distrugge tutti i nemici e i proiettili ostili sul campo di battaglia.
spell.tower_strike.title	STRIKE	УДАР	GOLPE	GOLPE	SCHLAG	FRAPPE	DARBE	SERANGAN	CIOS	COLPO
spell.tower_strike.description	Tap an enemy to deal the tower's final damage. Cooldown: 1.25 seconds.	Нажмите на врага, чтобы нанести итоговый урон башни. Перезарядка: 1,25 секунды.	Toque em um inimigo para causar o dano final da torre. Recarga: 1,25 segundo.	Toca a un enemigo para infligir el daño final de la torre. Recarga: 1,25 segundos.	Tippe auf einen Gegner, um den finalen Turmschaden zu verursachen. Abklingzeit: 1,25 Sekunden.	Touchez un ennemi pour infliger les dégâts finaux de la tour. Recharge : 1,25 seconde.	Kulenin nihai hasarını vermek için bir düşmana dokun. Bekleme: 1,25 saniye.	Ketuk musuh untuk memberikan damage akhir menara. Cooldown: 1,25 detik.	Dotknij wroga, aby zadać końcowe obrażenia wieży. Odnowienie: 1,25 sekundy.	Tocca un nemico per infliggere il danno finale della torre. Ricarica: 1,25 secondi.
spell.arcane_echo.title	ARCANE ECHO	ЭХО БАШНИ	ECO ARCANO	ECO ARCANO	ARKANES ECHO	ÉCHO ARCANIQUE	GİZEMLİ YANKI	GEMA ARKANA	ARKANICZNE ECHO	ECO ARCANO
spell.arcane_echo.description	Tap anywhere to deal the tower's base damage to a random enemy. Cooldown: 0.5 seconds.	Нажмите в любое место, чтобы нанести базовый урон башни случайному врагу. Перезарядка: 0,5 секунды.	Toque em qualquer lugar para causar o dano base da torre a um inimigo aleatório. Recarga: 0,5 segundo.	Toca en cualquier lugar para infligir el daño base de la torre a un enemigo aleatorio. Recarga: 0,5 segundos.	Tippe irgendwohin, um einem zufälligen Gegner den Basisschaden des Turms zuzufügen. Abklingzeit: 0,5 Sekunden.	Touchez n'importe où pour infliger les dégâts de base de la tour à un ennemi aléatoire. Recharge : 0,5 seconde.	Rastgele bir düşmana kulenin temel hasarını vermek için herhangi bir yere dokun. Bekleme: 0,5 saniye.	Ketuk di mana saja untuk memberikan damage dasar menara ke musuh acak. Cooldown: 0,5 detik.	Dotknij dowolnego miejsca, aby zadać losowemu wrogowi bazowe obrażenia wieży. Odnowienie: 0,5 sekundy.	Tocca un punto qualsiasi per infliggere il danno base della torre a un nemico casuale. Ricarica: 0,5 secondi.
tutorial.tap_screen	Tap the screen to damage an enemy.	Нажимайте на экран, чтобы наносить урон врагу.	Toque na tela para causar dano a um inimigo.	Toca la pantalla para dañar a un enemigo.	Tippe auf den Bildschirm, um einem Gegner Schaden zuzufügen.	Touchez l'écran pour infliger des dégâts à un ennemi.	Bir düşmana hasar vermek için ekrana dokun.	Ketuk layar untuk memberikan damage kepada musuh.	Dotykaj ekranu, aby zadawać obrażenia wrogowi.	Tocca lo schermo per danneggiare un nemico.
tutorial.tap_enemy	Tap an enemy to deal the tower's damage.	Нажмите на врага, чтобы нанести ему урон башни.	Toque em um inimigo para causar o dano da torre.	Toca a un enemigo para infligirle el daño de la torre.	Tippe auf einen Gegner, um ihm Turmschaden zuzufügen.	Touchez un ennemi pour lui infliger les dégâts de la tour.	Kulenin hasarını vermek için bir düşmana dokun.	Ketuk musuh untuk memberikan damage menara.	Dotknij wroga, aby zadać mu obrażenia wieży.	Tocca un nemico per infliggere il danno della torre.
tutorial.cast_invulnerability	The tower is about to fall! Tap Aegis to make it invulnerable.	Башня вот-вот падёт! Нажмите «Эгиду», чтобы сделать её неуязвимой.	A torre está prestes a cair! Toque em Égide para torná-la invulnerável.	¡La torre está a punto de caer! Toca Égida para hacerla invulnerable.	Der Turm fällt gleich! Tippe auf Ägis, um ihn unverwundbar zu machen.	La tour va tomber ! Touchez Égide pour la rendre invulnérable.	Kule düşmek üzere! Onu yenilmez yapmak için Kalkan'a dokun.	Menara hampir runtuh! Ketuk Perisai agar kebal.	Wieża zaraz upadnie! Dotknij Egidy, aby stała się niewrażliwa.	La torre sta per cadere! Tocca Egida per renderla invulnerabile.
tutorial.cast_purge	They're breaking through! Tap Purge to destroy every enemy and hostile projectile.	Враги прорвались! Нажмите «Очищение», чтобы уничтожить всех врагов и вражеские снаряды.	Eles estão avançando! Toque em Expurgo para destruir todos os inimigos e projéteis hostis.	¡Están atravesando las defensas! Toca Purga para destruir a todos los enemigos y proyectiles hostiles.	Sie brechen durch! Tippe auf Säuberung, um alle Gegner und feindlichen Projektile zu zerstören.	Ils percent les défenses ! Touchez Purge pour détruire tous les ennemis et projectiles hostiles.	Savunmayı aşıyorlar! Tüm düşmanları ve düşman mermilerini yok etmek için Arınma'ya dokun.	Mereka menerobos! Ketuk Pemusnahan untuk menghancurkan semua musuh dan proyektil lawan.	Przedzierają się! Dotknij Czystki, aby zniszczyć wszystkich wrogów i wrogie pociski.	Stanno sfondando! Tocca Epurazione per distruggere tutti i nemici e i proiettili ostili.
currency.crystals	Crystals	Кристаллы	Cristais	Cristales	Kristalle	Cristaux	Kristaller	Kristal	Kryształy	Cristalli
game.earned_crystals	Crystals collected: {0}	Получено кристаллов: {0}	Cristais obtidos: {0}	Cristales obtenidos: {0}	Kristalle erhalten: {0}	Cristaux obtenus : {0}	Kazanılan kristal: {0}	Kristal diperoleh: {0}	Zdobyte kryształy: {0}	Cristalli ottenuti: {0}
game.earned_crystals_gold	Crystals collected: {0}; Gold: {1}.	Получено кристаллов: {0}, золота: {1}.	Cristais obtidos: {0}; ouro: {1}.	Cristales obtenidos: {0}; oro: {1}.	Kristalle erhalten: {0}; Gold: {1}.	Cristaux obtenus : {0} ; or : {1}.	Kazanılan kristal: {0}; altın: {1}.	Kristal diperoleh: {0}; emas: {1}.	Zdobyte kryształy: {0}; złoto: {1}.	Cristalli ottenuti: {0}; oro: {1}.
